,username,tweet4original
7237,guilherme_amado,"I've just listened to @cabralens, the head of data in @ICIJorg. Her concerns about collaboration in investigative j?€? https://t.co/RpB6iM8hfD"
7238,palewire,The DC meetup that spun off our @cacivicdata MOOC over the summer is holding its 8th gathering next week. Go! https://t.co/3bYCF51GFH
7239,joshtpm,"No blindspots in data journalism? Okay, sure. https://t.co/4TfMOCiX4Y"
7240,ColumbiaAlumniA,@ColumbiaClub_DC joined @columbiajourn Dean Steve Coll &amp; a panel of journalists to discuss data journalism in the T?€? https://t.co/ieaHB6wnkl
7241,joshtpm,No reason to think it's as you practiced it since .... (wait for it!) the post wasn't about yr 14 part series! https://t.co/hw3aWclC1C
7243,gijn,@ScienceTS Great monthly feature to promote data literacy! Thanks for sharing! We featured your tweet in @gijn's To?€? https://t.co/bZFqAdh2xj
7246,kleinmatic,I hope the paper itself doesn?€?t make the sweeping conclusions the piece implies it does given such a limited sample?€? https://t.co/TQHDH8Qp5T
7248,gijn,Save #Datajourn Porjects: Take the survey; results will be used to create new tools for preserving data journalism?€? https://t.co/VEkky2rAJx
7251,cijournalism,#CIJCourses on #datajournalism #SQL #coding Nov-Dec 2017 @GoldsmithsUoL #Discounts for #students and #freelancers?€? https://t.co/TmeyPrtUnN
7255,DCNorg,"Not a revolution (yet): Data journalism hasn?€?t changed that much in 4 years, a new paper finds?€? https://t.co/MqpHHhYocr"
7256,jkeefe,"Data journalism in action: @brigidbergin got the spreadsheet, Jenny Ye @thepapaya spotted the problem. ????????  https://t.co/h6cmYDoYcs"
7257,jwyg,Looking forward to the data journalism class that I'm teaching this afternoon. ?????? #ddj #dataviz #teaching https://t.co/aXXr91KaOS
7258,TwoSeamGripe,This stuff -&gt; https://t.co/3sDaPRb27q
7259,gijn,"@randal_olson Inspiring gallery! Thanks for sharing, we featured your tweet in @gijn's Top 10 #ddj Oct 16-22 list https://t.co/C9Td0EYbZs"
7264,palewire,"In Q&amp;A, Poitras says she is increasingly interested in ""data journalism"" like ?????? https://t.co/fViNYVE1yi cc @joshtpm"
7265,niemanfdn,"From @ICFJKnight, tools to help you in your work--from data journalism to multimedia to investigative reporting https://t.co/lwOq2A5eAw"
7269,skepticalsports,"@WaltHickey @SStirling Just replace ""data journalism"" with ""empirically-tested journalism"" and this is all a tautological dispute."
7270,GayleCinquegran,Columbia University J-School  @columbiajourn  gave out inspirational reporter?€?s notebooks at  #datajournalism  even?€? https://t.co/YxotBuYK9l
7271,NiemanLab,"Not a revolution (yet): Data journalism hasn?€?t changed that much in 4 years, a new paper finds https://t.co/uIJpeuEeSb"
7275,LeonLidigu,"Very nice read  on big data, journalism and the environment by @GENinnovate https://t.co/EG1Zay65kt"
7276,SStirling,"I don't know that data journalism was ever going to revolutionize how we approach news, just the power behind it. https://t.co/4khiSCKFDi"
7277,kikollan,"@marga_tf ??Y el periodismo como scholar History? Imposible. Mi opini??n: Data journalism es exploratory analysis, y?€? https://t.co/gwovfbZJRj"
7278,nikkiusher,"Defends how you define data journalism- if you talk about interactive news broadly, it's changed a lot (UBER FT gam?€? https://t.co/rIuGn6gIAt"
7279,sanjanah,"Excellent article and work, this. #lka #srilanka #journalism #datajournalism https://t.co/Bqny2C8fUm"
7282,swissinfo_en,#datajournalism: Switzerland's #immigrant workforce is more highly educated and skilled than in decades past https://t.co/i5OVJ4bGBc
7283,kamal_hothi,Should probably bow out of the data journalism slack after this one... https://t.co/F12mC4pplx
7285,mizzousundevil,Data Journalism works. And it often means making your own data. https://t.co/N5tZ3UJDGV
7288,xtophercook,"the best part of data journalism is discovering that, sometimes, bits of govt use dd/mm/yy format and sometimes they go mm/dd/yy"
7289,AssociatedPress,"Possibilities include streamlining workflows, automating mundane tasks, crunching more data &amp; digging out insights: https://t.co/R9L4yEWMHS"
7290,MediaGovGr,Data+Journalism=Twitter | Data Journalism workshop takes place today at #MediaGovGr #DigitalOctoberGr #codeEU https://t.co/4UXn7nhrb3
7291,laurahazardowen,"@julius_reimer hi, I'm hoping to cover your recent paper (""Data-Driven Journalism"") for @NiemanLab but can't access a copy. Can you help?"
7292,bencasselman,"@aepton @NateSilver538 @joshtpm @FiveThirtyEight That's fine. Criticize the op-ed. But don't frame it as a critique of ""data journalism."""
7293,pulitzercenter,Investigative reporter @uri_blau works heavily in data journalism. #pulitzerweekend17 https://t.co/gtHVS2d2Jj
7294,Will_Bunch,This is very good https://t.co/hVCC6bKCHR
7296,derekwillis,"Stop tweeting this, please. https://t.co/iMm9Jqgvev"
7297,mirandan247,"Interested in reporting opportunities tied to NY politics/tech, data journalism or bilingual English/German skills https://t.co/gKY74ixo5a"
7301,gijn,5 year research partnership between @BBCRD &amp; 8 UK universities to unlock the potential of #data in the media. #ddj?€? https://t.co/p0Ff7Xlv2Y
7302,julia_azari,Ain't no party like a data journalism twitter party. https://t.co/SndI0kRgxe
7305,joshtpm,"Um, no. She made a series of arguments abt low statistical impact of reforms and this as an argument agst gun contr?€? https://t.co/9atjzYwEUG"
7308,mougendi,@cgicheru1 and @justinarenstein talking about the background of Hacks/Hackers and the importance of data-driven jou?€? https://t.co/rzPCtJ2iAi
7309,raju,"Holding the powerful accountable, using data ?€? Data Journalism Awards  https://t.co/dDEAUItg4n"
7310,WomenforTrump,Good question! https://t.co/37t5qJllH7
7311,NiemanLab,"We talk about data journalism as ""the future,"" but it hasn't changed much over the last 4 years https://t.co/rR20Q6o289"
7313,sesmith,"The idea that it?€?s necessary to ?€?show both sides?€? is pervasive in bad journalism, esp. bad data journalism. https://t.co/Sln8iaMk29"
7317,joshtpm,Let's try this again. It's not about 538's gun project. smh. https://t.co/pSERjqrc3U
7319,NiemanLab,Most data journalism is about politics. There's very little on culture/sports/education. https://t.co/mdDOUAZsoy
7320,ICFJ,#LatAm media innovators: Sign up for our ?€?Future of Journalism?€? conference in Panama. We will host data workshops?€? https://t.co/rDecXB8qhR
7321,RogerPielkeJr,"I'd love to defend @NateSilver538 @FiveThirtyEight editorial backbone, but ...
The Poverty of ?€?Data Journalism?€?
https://t.co/DRxNOFzJXg"
7322,gregorykorte,"I call straw man. Data journalism is a failure because it hasn't ""revolutionized"" journalism? Did anyone claim it w?€? https://t.co/gYbddPnIp2"
7324,soljourno,"How can journalists use data effectively? Learn from @genebalk of @seattletimes Nov 15, 5.30pm PST. Register now: https://t.co/AwzOLfkEbW"
7325,gijn,The da Vinci of data @EdwardTufte 1-day ?€?Presenting Data and Information?€? course in Boston. Check it in Top 10 #ddj?€? https://t.co/c2E4DpwwrR
7328,gijn,"Sign up for StoryLab Academy @Code4Africa alerts to get updates on their webinars, workshops &amp; more #ddj #Africa?€? https://t.co/4s16DwGd6c"
7329,damianradcliffe,Great 7 min Q&amp;A with @Chanders on data journalism  https://t.co/gX4HUZDlDS #FBF #ddj &gt; from @UOsojc visit last term.
7330,AssociatedPress,"Possibilities include streamlining workflows, automating mundane tasks, crunching more data &amp; digging out insights: https://t.co/R9L4yEWMHS"
7335,sarahcnyt,"@laurahazardowen @albertocairo @sharon000 It's a difficult construct to start with - ""data journalism"" means anythi?€? https://t.co/OSijIs7TVJ"
7339,opengovpart,#DataCampOGP registration deadline is TOMORROW! Learn more about data journalism &amp; #opengov during #OGPArgentina?€? https://t.co/Mpy4iI4ljB
7341,damianradcliffe,"Follow the money: investigative journalism using data https://t.co/I1AK0RmZw8 &gt; great case studies, sites and tips from @kcorrick #ddj"
7342,BowKnowsBiz,It was a fantastic chat and hopefully we inspired some folks today. Thanks for joining @juliegoldberg and thanks?€? https://t.co/ZyEQNV9MDX
7343,CFImedias,"""Southeast Asian journalists 'future-proof' #data projects in #workshop"" ???? https://t.co/jPjNSTVFvr #4MAsia?€? https://t.co/Tt6WGxvpkA"
7344,Authentic8,"Beyond the Daily Data Breach

8 industry experts on cybersecurity in #journalism https://t.co/EQSrDB6Qhl

#blog https://t.co/kfdRXjn4BI"
7345,politico,"Analysis: Political journalism has become infatuated with opinion polls, but struggles to make sense of the data?€? https://t.co/oxhBu7JXjZ"
7347,joshtpm,"As much as I gave data journalism a hard time, not having a penis seems highly predictive of being attacked by Trump."
7348,DohaMadani,Literally SO MUCH GREAT information surrounding the gun control conversation from @FiveThirtyEight just looking at?€? https://t.co/IFRvh3jd9Y
7354,dandrezner,I believe @NateSilver538 did kinda sorta get at this here: https://t.co/iq0BBHfEXJ https://t.co/dRvmLmwsDy
7355,derekwillis,@thomasforth @ODILeeds @paulcconnell I have been working with data in journalism for 20 years. I don't think I have?€? https://t.co/spPBC5Ef9J
7357,AssociatedPress,"Possibilities include streamlining workflows, automating mundane tasks, crunching more data &amp; digging out insights: https://t.co/R9L4yEWMHS"
7358,SStirling,"The idea that data journalism is some singular force, coming to eradicate shoe-leather reporting and have robots write stories is asinine."
7359,Harry_Stevens,Good list of databases of environmental data down at the bottom here https://t.co/clw6hp1Np5
7360,hangingnoodles,"Excellent data journalism project.
Citizens can force transparency 
in healthcare pricing.
Great job @voxdotcom
ht?€? https://t.co/soHPtbZyEc"
7361,gijn,"According to @el_pais' data analysis, support for Catalonia?€?s independence is greater among the well-to-do #ddj?€? https://t.co/7IPvQIy7VT"
7363,Asher_Wolf,"Differential attribution of identity is the best model of data ethics: transparency for the powerful, anonymity for?€? https://t.co/IZNk1dQ2bd"
7365,TWallack,This is an excellent exercise. https://t.co/kxyQqANcTd
7366,smfrogers,Our #datajournalism report translated into Turkish (cc @jschwabish https://t.co/tcXZtUEZAc
7369,LeonLidigu,"?€?Holding the powerful accountable, using data?€? by @Maid_Marianne https://t.co/XLDkiSqE18"
7370,Poynter,"@mayerjoy ???? What metrics say about your audience 
???? How to use metrics to make decisions 
???? How data make your journalism more useful"
7371,gijn,Congrats @morgenpost! Your R code for those amazing German election maps made @gijn's Top 10 #ddj list the 2nd time?€? https://t.co/jrdxdKw1Qi
7373,Bahareh360,Trade and Environment TREND analysis tool https://t.co/uRMFp6vSOX #ddj #ddjucd
7375,mattwaite,"@sarahcnyt The Lattice Charts lecture/assignment is here, but it's bare bones right now. Going to flesh it out late?€? https://t.co/d2E2VTcLOM"
7376,ucbsoj,???? Special Event: #Dataviz master @albertocairo on the fight against fake data/visualizations 10/26 5PM:?€? https://t.co/YEw17iHip4
7378,pedroelrey,"Not a revolution [yet]: Data journalism hasn?€?t changed that much in 4 years, a new paper finds - https://t.co/eYVJxp0k1O"
7380,Agenzia_Italia,"= #Russia2018 =
Italia-Svezia ai raggi X: quanto costerebbe al nostro calcio non andare ai #Mondiali https://t.co/R3p3hVcRR3 #agi"
7381,albertocairo,"Exactly the same, actually https://t.co/C0xAHEUMED"
7382,andreabettini,"Brillanti esempi di Data Journalism dalla Finlandia - Brilliant examples of Data Journalism from Finland
#EBUCERN https://t.co/owsHCemVQA"
7383,MjLyle,For those in journalism. Announcing free videos and training materials from the @ProPublica Data Institute https://t.co/GrFhA6VElo
7385,RiccardoLuna,Il 96 per cento dei film ha un regista uomo (e altri numeri interessanti su Hollywood e dintorni) https://t.co/BA4WBuxCFj #agi
7386,dnbornstein,"Thanks, Eric. @soljourno https://t.co/HWZGg3hY8t"
7389,bencasselman,"@joshtpm The distinction is important here because one principle of good data journalism is showing your work, which Leah didn't do."
7390,Agenzia_Italia,Una #mappa per verificare lo stato dei lavori di ristrutturazione nella tua scuola https://t.co/8Jbg82CpIp #agi
7391,mdichristina,"""It still mostly covers politics, it?€?s still labor-intensive and requires big teams, it?€?s still mostly done by news?€? https://t.co/xg2kRITvuJ"
7392,st_ffen,Understanding #GermanElections: @zeitonline interactive data journalism project on urban vs rural prejudices https://t.co/ZxPjQkotU2
7394,NateSilver538,"@joshtpm You wrote a Hot Take about data journalism being ""myopic"" based on an op-ed about a 14-part reported serie?€? https://t.co/qdpWtTTpIY"
7398,gijn,@fubits @jwyg Strange anomaly from 2014 to 2015? There's also dips in other years. We featured your tweet in @gijn'?€? https://t.co/bRP3fIVzd3
7399,MSPowerBI,#PowerBI for #datajournalism: @Recode shows how bike-sharing companies are competing in major U.S. cities. https://t.co/jdDTe13k95
7402,GENinnovate,"Make it personal, make it actionable: 6 #datajournalism experts weigh in on how to best report on #climatechange ??????€??? https://t.co/M8D3CJlD7f"
7404,NiemanLab,"Not a revolution (yet): Data journalism hasn?€?t changed that much in 4 years, a new paper finds https://t.co/DNFP6GzYLm"
7408,mkramer,@christinezhang Hello! I was wondering if you have published the results of this: https://t.co/YZPT0SAwmF :)
7410,spopalzai,https://t.co/09KjjLWixx
7411,theRightSteph,"Worth reading if you work with data, video, strategy, journalism and/or people https://t.co/Qp6j1Gzb02"
7412,LehighU,"""Their work shows a deep and intuitive understanding of the importance of understanding an audience through data."" https://t.co/lMHh6taTYB"
7416,ftwestminster,UK media warns data rules are being used to stifle journalism https://t.co/JcDAHVSEc6
7417,joshtpm,omg https://t.co/wF6Xtp38pv
7418,IJNet,Want to learn more about data journalism? @CFPD_UDGVirtual is hosting an online course Jan. 8 to March 25. https://t.co/8PRB78dZvF
7419,EngnRoom,"Typologies of data-driven journalism from @montclairstateu: temporary vs ongoing, separate or integrated? #ddj
https://t.co/xMceiYyPk9"
7420,dw_innovation,"Thread by @NateSilver538 on ?€?data journalism - worth reading, if you?€?re a journalists or a #ddj-expert, or both. https://t.co/H6AyMVhkRt"
7421,GENinnovate,"Reporting on environmental data
?€?A new #datajournalism discussion today 5pm CEST, w/ guests, on our Slack workspace?€? https://t.co/U74wFCaYZR"
7422,gijn,@kikollan Detailed analysis and timely. Thanks for sharing! It made @gijn's Top 10 #ddj list! https://t.co/NbP8K7GJuK
7424,hangingnoodles,"""failure to think beyond the numbers""
+many number-struck numskulls
in research also
?€?&gt;Is All the Truth in the Data?€? https://t.co/IUmnWNUkqM"
7425,Aoife_Lawlor,Really nice graphic and use of data journalism here. Would love to see something similar for Ireland. #DDJUCD https://t.co/cBSKu8VCyF
7427,gijn,"New Top 10 #ddj on https://t.co/9Mh5Gp46MB, @RTSinfo scrapes flight sharing platform @Wingly_UK for itinerary info?€? https://t.co/HwaXNLASat"
7428,NiemanLab,"Not a revolution (yet): Data journalism hasn?€?t changed that much in 4 years, a new paper finds https://t.co/nJvB2PvbIp"
7429,albertocairo,More projects we've done: https://t.co/NQzc6YUhKb https://t.co/sQYr2d3Rgg
7431,mkramer,"I'm really proud of my next three columns coming out. They're about access to gov't data, rural journalism, and machine learning."
7433,mirandan247,"Seeking (fulltime) reporting opportunities tied to NY politics/tech, datajournalism or biling. English/German skills https://t.co/gKY74ixo5a"
7434,NateSilver538,"The term ""data journalism"" has probably outlived its usefulness, but if you're going to use it, here's what I think it *should* stand for:"
7436,FortuneMagazine,"Data Sheet?€?Google, Facebook can help journalism better  https://t.co/c1VGvLmf1A https://t.co/bS2G8T6V8z"
7438,ByJasonNg,"Nikkei and Columbia Journalism School offering $100,000 scholarship for data and business journalism 

Details: https://t.co/wyUxHbhJnw"
7440,gijnAfrica,"Meet @j_la28, senior editor for #data journalism at The Center for Investigative Reporting, at #GIJC17?€? https://t.co/KXDPgvK0Pn"
7441,joshtpm,"Fair point abt data journalism in general, I guess. But my post isn't about 538. So I'm not sure how this is releva?€? https://t.co/InIzHSB8VP"
7442,NiemanLab,Most data journalism is about politics. There's very little on culture/sports/education. https://t.co/mDdhLaIQWx
7443,abarden,"Dig news, graphics + data? We're hiring paid winter and summer interns. https://t.co/5nNJkTjKdr #journojobs?€? https://t.co/uTUJSe1Hzd"
7444,IJNet,A new paper finds data journalism still mostly remains limited to newspapers + is still time and resource intensive https://t.co/5Fg1if2ST4
7445,torproject,"We can all collect data showing what's censored online, how, when, and by whom. No trust of govs or ISPs required.?€? https://t.co/JtbDbCDecQ"
7446,albertocairo,"?€?Data journalism hasn?€?t changed that much in 4 years, a new paper finds?€? https://t.co/4mbF220twu @laurahazardowen https://t.co/HmoPgaH4iy"
7447,zackstanton,"@lpolgreen The ever-reliable @jackshafer had a worthwhile, data-heavy piece on this topic in March:?€? https://t.co/DxPpjnGCTT"
7449,joshtpm,"Actually, I've overseen significant multiyear data projects, so, no, not exactly. https://t.co/PJnQjEy3UX"
7450,Agenzia_Italia,"#Economia
Cosa ci dicono sull'Italia i dati sul risparmio (e perch?? c'?? una cauta fiducia) https://t.co/Re8ROI2fLp #agi #datajournalism"
7451,mtdukes,Bonus: Loved sharing case studies from records experts @kimbriellwapo and @JoeBrunoWSOC9. https://t.co/onhG6b6zns
7452,ndorokakung,Good or bad? https://t.co/NCUMmMioqD
7454,Peter_Jost,Grandios: Wieder eine internationale Auszeichnung f??r @DatenDani und die @BernerZeitung. #infografik #datajournalism https://t.co/TS9UcztuP9
7455,gijn,@juliustroeger @datentaeterin Congrats! @morgenpost's interactive team's R code made @gijn's Top 10 #ddj list. We a?€? https://t.co/FKfEWBtLRF
7456,sarahmccammon,"????The share of women in newsrooms has increased barely 1 % since 2001, ASNE data shows ?? Nieman Journalism Lab https://t.co/T4sTi5gg4N"
7461,Ashley_J_Kirk,Great dissection of polling data &amp; reporting by @BenjaminToff. We need to take more time for this after recent votes https://t.co/eKNdExGEuy
7462,lgalup,El periodismo de datos en 2017 seg??n Google. Informe de ????????????????????????????????. https://t.co/IlUQ3ei7e7
7463,news_ghana,25 Nigerian Journalists Undergo Data-journalism??Training https://t.co/RoM7ONwMaG https://t.co/hhvKsVEQrt
7464,gijn,"When good journalism becomes good data journalism, @digidickinson offers his definition of #datajourn, Top 10 #ddj?€? https://t.co/HLtnu1VAgz"
7468,gijn,"@fabiolatorres @ICFJKnight @ICFJ @IJNet Inspiring multimedia stories, thanks for sharing! We featured your tweet in?€? https://t.co/iz55LvZg8g"
7469,Agenzia_Italia,"= #DataJournalism =
#Musumeci ?? avanti di 2 punti su??#Cancelleri a 3 settimane dal voto in #Sicilia.  
?? https://t.co/sittaqKMx7 #agi"
7471,albertocairo,"Hi @joshtpm , as much as I agree with your reasoning, the headline and some paragraphs are massive straw man argume?€? https://t.co/1KMhLmWSlD"
7472,small_media,ICYMI: the first of #OpenAndShut's three-part series on #Panama's leading #datajournalism initiative @NuevaNacion:?€? https://t.co/daCfkS4Y8z
7473,joshtpm,"I mean, c'mon. It's not DJ. It's an OpEd abt what she learned from her work in DJ and what she believes based on DJ. https://t.co/nGmN7g4Uti"
7474,thecableng,"#US embassy trains journalist on investigative, data journalism | TheCable https://t.co/IXOQFiWghd https://t.co/hSX5hUQOzi"
7477,nixonron,"Why does one bad article using data always become an overall critique of data journalism?

https://t.co/3lTdVQtIix"
7478,small_media,Read part two of #OpenAndShut's interview with @NuevaNacion about the challenges facing #datajournalism in #Panama:?€? https://t.co/aKfBcQRsll
7479,POLITICOMag,"Political journalism is infatuated with opinion polls, yet news orgs remain ill-equipped to make sense of the data. https://t.co/hQeHV3xUqL"
7480,jonathonmorgan,Russian propaganda may have been shared hundreds of millions of times https://t.co/qSJLlywLpe great data journalism by @d1gi
7482,PremiumTimesng,U.S. trains 25 Nigerian journalists on data journalism https://t.co/mg6MHOCu4E
7483,sarahcnyt,@martinstabe @albertocairo @laurahazardowen @sharon000 Also worth noting that this is a Eurocentric view of data jo?€? https://t.co/9raHHb8bcD
7484,MaxKennerly,"@joshtpm you know who else condemned sloppy data journalism, josh? that's right: hitler."
7487,groundviews,Terrific article + data journalism by @yudhanjaya | How people come to Nallur https://t.co/1Ld9mNLkrs #lka?€? https://t.co/dHAYLmBCEn
7488,IndexCensorship,"National security silencing investigative journalism, data from Mapping Media Freedom shows  https://t.co/eu7j6hu2OL @ECPMF"
7490,ucbsoj,???? Special Event: @albertocairo on Visual 'Trumpery' &amp; the fight against fake data/visualizations 10/26 5PM https://t.co/2vXM7O4Chu #dataviz
7492,sarahcnyt,@albertocairo @laurahazardowen Longer convi but a simplistic view of data and journalism. I'm just getting weary of?€? https://t.co/v3wqB7tngo
7494,joshtpm,"Um, yes I have. Not my first time at this rodeo. I said the **practice** of it. If it's not an issue, why is it tal?€? https://t.co/JlEFrC4J7j"
7495,danarel,"Each death links back to a news story confirming it.

You're a journalist but too lazy to check links?

I mean, thi?€? https://t.co/atptjOgzpb"
7496,JohnRussell99,That was fast! https://t.co/XJhug863eN
7499,joshtpm,3/ broad-brush swipe at 'data journalism' which may be too general. It's more a type of data journalism.
7500,OKFN,"Read about ""Bridging the gap between journalism and data analysis"" by our @od4_d  fellow @KezieOmeje?€? https://t.co/Ie1hSVrkac"
7502,NEDAhq,Mr. John Nery delivers his speech and presentation on Data Journalism. #28thNSM #FactsAndFiguresForTheFuture?€? https://t.co/IEnVFEByis
7504,Bahareh360,@eborgesrey @digidickinson I have to disagree with you here Eddy (and I hate it). I don't think good (data) journal?€? https://t.co/2A5dtcCBV9
7505,joshtpm,So I critique her oped and framed it partly abt data journalism and since yr series was data journalism I critiqued?€? https://t.co/pU8N1o7IIF
7508,gijn,@Code4Africa @SimonKaggwaNjal @dataviz_catalog @SolomonSerwanjj @eyotaruolive @GabrielIguma @Da4Daphne @bushrah_nam?€? https://t.co/FUoVCVtQUf
7510,AP_CorpComm,How to use data for local journalism? @AP's @tthibo &amp; @MeghanHoyer to weigh in at @ONAConf 11:30am ET. Livestream: https://t.co/AjWUnJzWsM
7515,laurahazardowen,"@BredowInstitut hi, I'm trying to hoping to write up the paper ""Data-Driven Journalism"" for @niemanlab but can't access a copy, can u help?"
7516,Agenzia_Italia,#ItaliaSvezia ai raggi X: quanto costerebbe al nostro calcio non andare ai #Mondiali https://t.co/R3p3hVcRR3 #agi
7517,mattfrendewey,Cherry picking data to fit your anti-parental choice agenda is not objective journalism. https://t.co/bInk5FK5NZ
7519,joshtpm,Serious kraken action https://t.co/gyy5Dq6rfG
7520,101holidays,Data journalism is thriving. Until AI takes those jobs too https://t.co/ozh2ib8oXl
7526,niemanfdn,"#DataJournalism hasn?€?t caused a revolution ...yet. 
https://t.co/1kjxj4YgOQ"
7529,GoogleEnFrance,Nous ??tions aujourd'hui ?? Clermont-Ferrand avec @labcentrefrance et le @googlenewslab pour parler #datajournalism !?€? https://t.co/hw83I9oKpR
7531,gijnAfrica,"#US embassy trains journalist on investigative, data journalism
 https://t.co/7oMxMUxk7o https://t.co/9I9g9oBVg2"
7535,TBIJ,"?€?My time at the Bureau opened up a whole new sense of what...collaborative data journalism, could possibly be.?€??€? https://t.co/OdbPQdI5r7"
7537,ahmermkhan,For specialising in Data and Business journalism. https://t.co/c9KuNhs7ME
7538,walkleys,"And just ICYMI, big thanks to @isentia for enabling us to offer a very special journalism and data innovation grant: https://t.co/qxbgM46VxR"
7540,gijn,"Using @Datawrapper &amp; data by https://t.co/EeNEDa7hK9, @jwyg visualized total no. of websites from 1991-2015?€? https://t.co/XffzIftdzo"
7541,lgalup,Mir?? @rayovirtual. https://t.co/xZUij3t4m9
7543,IJNet,"ICYMI, a new report finds data journalism hasn't been quite as revolutionary as advertised ... yet. https://t.co/5Fg1if2ST4"
7544,ICFJ,"With @ICFJKnight &amp; @Code4Africa, we?€?re supporting the Naija Data Ladies with #datajournalism training &amp; more?€? https://t.co/Ba2K3EnjiN"
7545,lucatremolada,@andreagianotti @michelafinizio  Webinar: Data journalism e riuso informativo dei dati aperti?€? https://t.co/7kBTbHhneA
7546,gijn,"@infomuotoilu Just a note, we featured your tweet in @gijn's Top 10 #ddj Oct 16-22 list! https://t.co/C9Td0EYbZs"
7547,cheriehu42,"culture, education and sports still account for only 2.7% to 5.4% of data journalism in the world ???? https://t.co/b99FBWPX0B"
7550,NiemanReports,?€?Our findings challenge the widespread notion that [data-driven journalism] ?€?revolutionizes?€? journalism.?€? https://t.co/LxwgqqXaDs
7551,opengovpart,Registration for #OGPArgentina's Data Bootcamp is now open! Register to learn more about data journalism &amp; #opengov?€? https://t.co/2WCij2DYbl
7552,pewjournalism,"In Today's News: Reporter killed in Malta car bombing, a discussion about how data journalism has changed and more: https://t.co/sC7ZuPZtkg"
7554,RaiNews,Dove sono nascosti i soldi dell'evasione fiscale che svuotano le casse degli Stati? #paradisifiscali?€? https://t.co/xF1xLNuJxV
7555,YNaija,[The Activism Blog] [The Activism Blog] U.S. trains 25 Nigerian journalists on data journalism?€? https://t.co/Y90I9hC4dZ
7556,joshtpm,??\_(???)_/?? https://t.co/6DcelsL33Q
7557,ptr_yeung,@puntofisso @digidickinson I do feel uneasy about driving a wedge between journalism and data journalism though. Sh?€? https://t.co/SakCQ47Ncz
7560,christianna_j,Really taking my data-driven journalism to the next level here. https://t.co/vlEyy3XOA7
7561,Authentic8,"Beyond the Daily Data Breach

8 industry insiders on cybersecurity and #journalism https://t.co/EQSrDB6Qhl?€? https://t.co/9ZLUv3S7aG"
7562,palewire,@knowtheory @derekwillis @joshtpm Spend you days in world of opinion journalism and I suspect data journalism trans?€? https://t.co/yE2HwcVNV9
7563,BrendanNyhan,Neat example of how to incorporate data journalism into investigative reporting https://t.co/nuAGivdeMh https://t.co/E6dlhXUXUa
7565,NiemanLab,"""Trend"" in data journalism: ""A glut of simple visualizations"" https://t.co/CxqDjWGBW9"
7566,nodexl,This Week?€?s Top Ten in Data Journalism https://t.co/Jw53od0ovy
7567,willjordan,Yep. https://t.co/0hUA1cTKeT
7568,sole24ore,Data journalism e riuso informativo dei dati aperti ?€? Il webinar https://t.co/zjahijblch https://t.co/5VPkZBwXU7
7570,NiemanLab,"We talk about data journalism as ""the future,"" but it hasn't changed much over the last 4 years https://t.co/mNwaj9EgMn"
7572,Agenzia_Italia,Il 96% dei film ha un regista uomo (e altri numeri interessanti su Hollywood) - @riccardoluna per #BlogItalia https://t.co/94tnZ7Eh7h
7574,NiemanLab,Most data journalism is about politics. There's very little on culture/sports/education. https://t.co/xDfg4Dtb1b
7575,sarahcnyt,@albertocairo @laurahazardowen Probably I think stories about data journalism aren't as good as the journalism it's writing about.
7576,joshtpm,"um, yes. that's what i said. https://t.co/WwUb96xMil"
7579,mariaressa,Thanks for spending the week with us! #4MAsia https://t.co/mWiKB1iGh6
7581,newley,For candidates interested in data and biz journalism ???? https://t.co/o9EokfV5gr
7586,txtianmiller,The revolution has just begun. https://t.co/DtGFErt3Ql
7588,digiphile,"@joshtpm Fair. I'd read this as a broad critique of the field of data-driven journalism, or computer-assisted repor?€? https://t.co/47tXlTQV02"
7589,RiccardoLuna,Alle Hawaii sono arrivati 2.454 Ironman da tutto il mondo per la battaglia finale https://t.co/MrWDZLNxqx #agi
7591,ACLU,"If you?€?re researching algorithmic discrimination, an anti-hacking law could be used against you. Some tips: https://t.co/1McV8oCCHp"
7596,RobinKwong,So excited to see a Chinese piece on data journalism on @Storybench: ???400????????????????????????????????????????€?????????????  https://t.co/FIhp3rBpiM?????????????????????????????€????????????/
7597,Info_Activism,Data journalism lessons available from ProPublica Data Institute  https://t.co/cxCZePsBZG
7598,SStirling,Another irk. This study is fodder for those (there are many) who quietly reject data journalism as its own thing 1/2 https://t.co/4khiSCKFDi
7600,Info_Activism,Networked Capitalism: Unpicking the ventures of the PayPal Mafia https://t.co/pXv5EZv7BH
7602,sesmith,Enjoying this read from @joshtpm on some of the failings of data journalism. https://t.co/fUfD8jJ8TY
7603,damianradcliffe,Such a great idea. https://t.co/0R7iyv7zGy
7604,gijn,@christinazaba @wordpressdotcom Good examples. Thanks for sharing! We featured your tweet in @gijn's Top 10 #ddj Oc?€? https://t.co/KOFhAgwa04
7608,Info_Activism,An antidote to poisoned election https://t.co/o1hj20Ejki
7614,sarahcnyt,@albertocairo @laurahazardowen Sigh. More data journalism propaganda
7617,maggiekb1,@simonelandon Data journalism is such trash. My evidence: I once read an op-ed I didn't like.
7618,riotta,"?? curioso ma il settore media #Italy in cui la cultura del data journalism si sta affermando con meno ostilit?? ?? lo sport, via allenatori."
7620,michellemanafy,"Not a revolution (yet): Data journalism hasn?€?t changed that much in 4 years, a new paper finds?€? https://t.co/7s2etT8pGz"
